"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse"
1305 -0.252405411809575 0.824990812800745 0.922740349998569
870 -0.252405411809575 0.840128303709952 0.898247138814792
435 -0.252405411809575 0.839695247467079 0.789464359832506
290 -0.252405411809575 0.820046699173414 0.768983836598292
228 -0.252405411809575 0.825430367506397 0.759999216257581
174 -0.252405411809575 0.806439899351988 0.753160529258032
116 -0.252405411809575 0.747280305280596 0.747363229513464
87 -0.252405411809575 0.730844095132659 0.74505775271005
44 -0.252405411809575 0.601007591612809 0.757093642036292
17 -0.252405411809575 0.356238404820315 0.79013745397173
