"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rmse"
1730 0.405150134645618 0.842021816472611 0.792661572370174
1500 0.415782957609319 0.849040251372356 0.851242782944703
1250 0.412441117226751 0.850508758410195 0.856394054179081
1000 0.407475596252713 0.844250231250112 0.866253811534534
750 0.424045049649756 0.854240391598355 0.803705854376463
500 0.39629465300187 0.845094849129344 0.751927492669384
250 0.384480092120318 0.81721816799729 0.717527569377491
100 0.257642718615608 0.744444413595041 0.705339024339953
10 -0.0830647306557424 0.351631082559379 0.753993957393974
