"bridge_size" "mean_sil_score" "stab_knn_acc_bal" "stab_rmse"
10 0.36104708159354 0.82240612697449 0.469793956095811
240 0.374243531644437 0.822189357418135 0.47629990222191
490 0.367289844809551 0.826306107991567 0.499451586503059
740 0.353127366391418 0.811978788572282 0.504203502449374
990 0.282411828786103 0.792237420186647 0.531521563719506
1240 0.233115615433939 0.764668729309474 0.636645070469558
1490 0.113450793145517 0.712132258051974 0.694376390343855
1640 0.0015504272258728 0.558071867224253 0.7249621876559
1730 -0.0713789624254735 0.238404139073912 0.793679644978223
