"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.0615193124281049 0.315233242173606 0.733472546053955 NA NA
10 -0.0574192256472442 0.147620535940774 0.744571836245847 NA NA
10 -0.0681305884340766 0.274240738480304 0.731101889064252 NA NA
10 -0.0214693660981387 0.317887558991022 0.749275812689054 NA NA
10 -0.0559198869161687 0.306060512526481 0.750908686977886 NA NA
52 0.0695975552358025 0.434215533711675 0.704455039176211 NA NA
52 0.139196807880397 0.670560515513244 0.706876055968108 NA NA
52 0.175283547687425 0.754907026949759 0.7008669020737 NA NA
52 0.174557127070498 0.643970604941421 0.701752852281396 NA NA
52 0.174023048716616 0.688121889585619 0.706648906472377 NA NA
104 0.280093818973366 0.763928143623746 0.69353966951462 NA NA
104 0.27715411064655 0.767330058352658 0.690324684026706 NA NA
104 0.294195032512577 0.816349041427309 0.691040893387687 NA NA
104 0.242960310340764 0.776047904824352 0.696765247047077 NA NA
104 0.253737031963096 0.830765490914601 0.691031934009045 NA NA
156 0.276865174004673 0.841975051604829 0.682639265066049 NA NA
156 0.308408464924658 0.792233627564631 0.687766172245371 NA NA
156 0.350050135048278 0.806000263648955 0.682210544865736 NA NA
156 0.313349103334996 0.832585348361973 0.6898158141813 NA NA
156 0.341249275979592 0.806626160132696 0.686651166776752 NA NA
218 0.358556674819074 0.825412033707509 0.684203533928002 NA NA
218 0.394511721084216 0.848023156657527 0.679526768769126 NA NA
218 0.377322957453277 0.852698143473936 0.686942085040647 NA NA
218 0.368822314305441 0.84416588256752 0.683755556825669 NA NA
218 0.373324436214941 0.842621694266593 0.681305977654754 NA NA
438 0.4351082797315 0.872777149340596 0.67678602022546 NA NA
438 0.376479138550442 0.861988458137309 0.684853907632758 NA NA
438 0.40216567630425 0.850409160377477 0.67290138866785 NA NA
438 0.419182860402906 0.852494084018081 0.670497570548132 NA NA
438 0.37832490471329 0.863340929299773 0.675395704687452 NA NA
653 0.435586822352337 0.851363504174371 0.678407708912771 NA NA
653 0.434391696272096 0.858033565833753 0.669500965908192 NA NA
653 0.412273766954158 0.872653390008348 0.667034867859457 NA NA
653 0.428930612352445 0.866243014306131 0.673271912045469 NA NA
653 0.422791649750074 0.869989409407159 0.676210356836171 NA NA
870 0.437371319447677 0.865443227724208 0.670955922882375 NA NA
870 0.444325923306053 0.870698600832412 0.677749594720867 NA NA
870 0.436423996570895 0.872420704638151 0.6797742138625 NA NA
870 0.459600148996131 0.866676422775517 0.669132215311823 NA NA
870 0.453083494048792 0.871518431882505 0.658932312715915 NA NA
953 0.427195963951124 0.873742212602237 0.681613563762612 NA NA
953 0.450613678240798 0.878225566596421 0.678618915769682 NA NA
953 0.44057872908881 0.862971915520762 0.673047604775635 NA NA
953 0.413207408606793 0.873973966957879 0.671395658781357 NA NA
953 0.434070885971857 0.87375059726318 0.674820855562957 NA NA
1088 0.446413397905739 0.867331462172962 0.67085391550727 NA NA
1088 0.455586430130945 0.879222598665105 0.682006793864672 NA NA
1088 0.457151908523953 0.879182979848733 0.670877153109525 NA NA
1088 0.443992517576709 0.860863483705168 0.680121723079059 NA NA
1088 0.441321313572903 0.865758789269516 0.673162570483068 NA NA
1305 0.440497255055837 0.875930821328127 0.67124462187657 NA NA
1305 0.448618529864246 0.872602882707624 0.673881848498261 NA NA
1305 0.463005826771828 0.8737374519857 0.66619059672215 NA NA
1305 0.457755944258513 0.871848415613827 0.675430385961623 NA NA
1305 0.4404512054516 0.875224401897554 0.67392866128609 NA NA
1523 0.464473196009958 0.869550268895809 0.686501186569026 NA NA
1523 0.463874542507416 0.866241669805146 0.683921267871046 NA NA
1523 0.467332760905126 0.862583368743046 0.657260703867647 NA NA
1523 0.446895293952542 0.874291343750609 0.680833371885652 NA NA
1523 0.444811377471447 0.868512890950007 0.656517106877048 NA NA
1730 0.463123256733652 0.878175147490951 0.603241338849671 NA NA
1730 0.465999411791108 0.870206706702078 0.806865686773589 NA NA
1730 0.461445052243294 0.871399579382387 0.692744420120403 NA NA
1730 0.462540862344267 0.874174681693536 0.725429168608847 NA NA
1730 0.456573239407133 0.875138852678201 0.624660186998058 NA NA
