"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rsme_atac" "mofa_rmse_rna"
10 -0.0953457626134657 0.229853875606376 0.935809712518721 0.55836684875979
240 0.375560715805906 0.825885592455705 0.877944060513633 0.476311877397925
490 0.405327353400652 0.84047041904991 0.874608035276796 0.461109605580406
740 0.41025769311588 0.844401822541431 0.873681307443171 0.446948402735912
990 0.418258702223055 0.838274244226054 0.867237677334941 NA
1240 0.429940522224336 0.852733371393783 0.853575443959909 NA
1490 0.425099615199245 0.854424921042081 0.855262136525987 NA
1640 0.411559128936448 0.841769085981434 0.861074265067303 NA
1730 0.413138461374076 0.851287091261021 0.792661572370174 NA
