"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.17676317541579 0.246638489946844 0.782049077711671 NA NA
10 -0.129555413194215 0.221739479568816 0.793223348605043 NA NA
10 -0.124744855660312 0.268299877076655 0.783475085507677 NA NA
10 -0.166150158241683 0.262530822957886 0.794665125487406 NA NA
10 -0.139130818211168 0.209119304250177 0.799562350315241 NA NA
52 -0.0865777539618111 0.391540693448237 0.750829927793776 NA NA
52 -0.0660742016167494 0.460072204622292 0.751162558011113 NA NA
52 -0.0457073574182045 0.540894094008676 0.748989824915691 NA NA
52 0.00652856004245819 0.47578783326357 0.749485983284868 NA NA
52 -0.0243488223342324 0.497448635657369 0.749999292124474 NA NA
104 0.0648947182554742 0.560659713025698 0.744352219539008 NA NA
104 0.0550778855187616 0.545591958221335 0.740409119828946 NA NA
104 0.117258670229548 0.605961077890332 0.740254248600952 NA NA
104 0.00853033885356463 0.528810839027604 0.746968471926447 NA NA
104 0.0516989898899209 0.577672579703189 0.740585549272682 NA NA
156 0.107873705138959 0.631111150636974 0.732857672720616 NA NA
156 0.116061907519492 0.603066558054942 0.738075836922988 NA NA
156 0.182523436612884 0.659090537552389 0.733033541629064 NA NA
156 0.127048582004666 0.622293732837023 0.741704430674219 NA NA
156 0.16152586426703 0.630733903845761 0.737651854842973 NA NA
218 0.240047000334579 0.729667890391845 0.736764283523827 NA NA
218 0.253901184905661 0.757189534412301 0.730891342416182 NA NA
218 0.241645536204648 0.747600703113103 0.739496476262017 NA NA
218 0.21991013500998 0.717356356908905 0.735397443193979 NA NA
218 0.246316413685541 0.727552295443539 0.733564747472795 NA NA
438 0.358837598975317 0.806576324489207 0.730044629828411 NA NA
438 0.332261101210445 0.794666597406472 0.738043801843978 NA NA
438 0.321669130158964 0.79013910564072 0.72530239436455 NA NA
438 0.336436955686405 0.789636544664073 0.722293032213374 NA NA
438 0.353984016914191 0.809738327899788 0.72750488007684 NA NA
653 0.361554886460944 0.810895957908352 0.731693177544126 NA NA
653 0.377647373123087 0.820416608051502 0.721958659533672 NA NA
653 0.370120012683214 0.834091498099615 0.719156553957705 NA NA
653 0.353743378901287 0.8176850640941 0.725981785344313 NA NA
653 0.357743722280538 0.808087709601241 0.728966279543894 NA NA
870 0.38036793039305 0.83178190685762 0.723444828231085 NA NA
870 0.377815458648421 0.832989199051042 0.730694309730952 NA NA
870 0.375348270163995 0.825397930507343 0.732473629684896 NA NA
870 0.380564973755728 0.821402468708646 0.722046810733978 NA NA
870 0.368971670700157 0.8268700857767 0.710828714331587 NA NA
953 0.366817108626448 0.829907986422218 0.735605894451786 NA NA
953 0.374359412171958 0.81608880437752 0.731963255714193 NA NA
953 0.369001496909508 0.818374228905736 0.726278988748345 NA NA
953 0.369100688614564 0.815525288937264 0.724511778508486 NA NA
953 0.377260378923558 0.828311871279449 0.727855616823401 NA NA
1088 0.375025945786146 0.829782811552683 0.723345711841653 NA NA
1088 0.382679753625687 0.821782736663307 0.735994822529293 NA NA
1088 0.374781998745582 0.825338867931577 0.723881476906219 NA NA
1088 0.379284249581343 0.829704937234881 0.733561686196654 NA NA
1088 0.378668505859806 0.820859311663859 0.725878842733306 NA NA
1305 0.38064727413679 0.82787478731057 0.724723647687867 NA NA
1305 0.381208212017891 0.824734773462632 0.727239600348017 NA NA
1305 0.380588215509776 0.830717812169519 0.718511588628086 NA NA
1305 0.346512553537007 0.81688461442872 0.728952160740974 NA NA
1305 0.375201907279097 0.824688930817431 0.727480610768483 NA NA
1523 0.379748685493282 0.825227362360625 0.738722627336289 NA NA
1523 0.362248813472103 0.825556807056121 0.737318804084917 NA NA
1523 0.373130031334357 0.82063888138719 0.710273213699438 NA NA
1523 0.378389583007802 0.825783520758171 0.732866725430306 NA NA
1523 0.377861812414014 0.819097696678014 0.707352022292549 NA NA
1730 0.372138685443501 0.832247206748466 0.648493906420876 NA NA
1730 0.375073347792734 0.824860599932954 0.865071530670727 NA NA
1730 0.375571871362387 0.829799005878755 0.745407293835282 NA NA
1730 0.380298552696134 0.825390413650259 0.78212054232541 NA NA
1730 0.376109842976173 0.834420620164722 0.670189269256894 NA NA
