"bridge_size" "mean_sil_score" "stab_knn_acc_bal" "stab_rsme_atac" "stab_rmse_rna"
10 -0.0910888816773933 0.326057368798177 0.988421092411878 0.588597809577699
240 0.357617258637369 0.81907497733047 0.933355065927731 0.50936515031892
490 0.220645417081494 0.705599246863833 0.932520878153719 0.497355722130087
740 0.409068486896064 0.832964809883019 0.933393859101287 0.484974628919781
990 0.387983682443487 0.833053790940952 0.928634477890714 NA
1240 0.372761104226313 0.835656203790202 0.918439816517285 NA
1490 0.38002571865339 0.823454760189347 0.921477534891529 NA
1640 0.376047099161573 0.836170415383208 0.928129102552833 NA
1730 0.375671030785479 0.820927385860815 0.858290160696621 NA
