"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse"
10 -0.08323892207963 0.294690839430871 0.774672806510362
10 -0.0848480791737793 0.305649191290055 0.786790066449492
10 -0.0525900893027185 0.377896832722526 0.769035834352504
10 -0.0885574721137665 0.400050796011111 0.791194994249477
10 -0.0549773231945682 0.328472023147678 0.794228917943138
52 -0.0193082774311401 0.487786709751717 0.742487031207867
52 0.0257980342221911 0.655399553149147 0.742268942911226
52 0.0443067778110647 0.686300765131196 0.739097551803438
52 0.0863648875032502 0.627961943176787 0.741223691701756
52 0.0568993358990174 0.618371115530221 0.741875246388099
104 0.153164419709788 0.698089772431239 0.735149856364962
104 0.142676139858163 0.677154026931243 0.731669276873846
104 0.190664891211122 0.722896210195239 0.731003449198774
104 0.120553521726193 0.687724558921861 0.737282154391609
104 0.178042927091509 0.728613435915644 0.732188056408944
156 0.194930396739627 0.734518355787169 0.725412117626602
156 0.191969002364896 0.732533023812375 0.730367685005811
156 0.251945541441197 0.755449374594117 0.725675395750445
156 0.213093440247305 0.719749961339588 0.73285134561291
156 0.224351354150555 0.727010598074357 0.729193082422483
218 0.284263537255966 0.787161574280977 0.729104827959358
218 0.306004023290002 0.802567970983955 0.724048256318802
218 0.291642565405805 0.810298733873631 0.73189388408117
218 0.277492008064524 0.781686979804816 0.727868798373216
218 0.237984231029227 0.772523360784487 0.726731133874162
438 0.348518225120816 0.812480469274872 0.724357532562058
438 0.329770868650583 0.801246077971026 0.732691560163136
438 0.340000659433116 0.804989296979242 0.719874092139532
438 0.34727707504392 0.812655983193746 0.717929020090974
438 0.309024466254212 0.813648465050032 0.723070532478729
653 0.369527013189506 0.815133806158196 0.727594088844557
653 0.372401637634789 0.822001449109594 0.717916258800993
653 0.367623867597044 0.819397513326588 0.715638344834935
653 0.346936319921764 0.819680038645628 0.722463043652515
653 0.354385284208923 0.81417836777348 0.725348850267921
870 0.374095714609136 0.831660951711294 0.72098072619551
870 0.352646161572605 0.825363106315367 0.727532149542534
870 0.367385800240605 0.808815077934963 0.729853867955602
870 0.375193315610295 0.833573392631069 0.719265126170259
870 0.352481918063478 0.81866936299236 0.708184748844688
953 0.360474360635098 0.829337976626849 0.732578946994191
953 0.366471321930426 0.807489456778608 0.729054555325299
953 0.374315871885682 0.813627460774236 0.723553488452851
953 0.372201898707596 0.820883933199462 0.721253517529717
953 0.354289867859415 0.81255263239186 0.725661954887342
1088 0.368030316255502 0.824115279790248 0.721856798141105
1088 0.374309350922461 0.821824929781779 0.732809402297599
1088 0.370503905129959 0.823127707778219 0.721994398082197
1088 0.374523331565957 0.816926612355581 0.731404759757148
1088 0.350330083542207 0.825848114696863 0.723551933215015
1305 0.374961424487153 0.81731345483444 0.72326091191308
1305 0.378714664151891 0.820944170045927 0.725577873089116
1305 0.369754359951857 0.823630521724842 0.716752024584555
1305 0.355400206699305 0.819735643451821 0.727340798983249
1305 0.368878059252971 0.822915908299469 0.726017971367693
1523 0.372944344073888 0.831905680436915 0.737734238392459
1523 0.378670818503338 0.827015857672037 0.736672339634771
1523 0.372591678419065 0.820610070723076 0.709896384931682
1523 0.386402478049216 0.821360914177419 0.731541645434837
1523 0.376706888467498 0.821848741045101 0.705927377524339
1730 0.375380284425175 0.823927750218566 0.646958925717216
1730 0.369110632787349 0.823631712626149 0.863115271599149
1730 0.379907107718197 0.834550018876296 0.742509458893527
1730 0.371509279446679 0.830312413102011 0.781973745595719
1730 0.37310285505815 0.825912156580396 0.66996845435519
