"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rmse"
10 0.427048199645847 0.847171215607806 0.6437170754693
10 0.41310731356375 0.846168249700171 0.581205827827499
10 0.3994615025269 0.862702782880564 0.72833320360784
10 0.410243995512004 0.847389743249762 0.414488994465492
10 0.412479130170504 0.855079539055395 0.564519087510997
240 0.399450401930591 0.846242630334253 0.680440877409937
240 0.422503933539473 0.845074064324423 0.657082731846829
240 0.411189811924827 0.854660369715761 0.652317532775539
240 0.404414881297086 0.834096282402873 0.632858347242787
240 0.405222863741052 0.852601540838751 0.662610376473941
490 0.395361433290828 0.851033597089404 0.654823337783089
490 0.426178564727725 0.851496409283341 0.676890731799705
490 0.402016536429726 0.851025099996155 0.66221126485831
490 0.392358841402613 0.843870010887418 0.668788660833468
490 0.419574798124303 0.858199966176695 0.653235677590454
740 0.425602782202931 0.847106658482957 0.67171745078704
740 0.423293931102077 0.848293130354395 0.677214939441932
740 0.407997497921776 0.847675136211268 0.659274231217254
740 0.414690228008977 0.844971438655134 0.668768785652667
740 0.384813913960912 0.851765529517033 0.676226545462556
990 0.420188130074194 0.847594017893423 0.664514729941111
990 0.414100963966384 0.832385814392135 0.673516956730474
990 0.409174101185961 0.842328228399969 0.681728339484644
990 0.424258679808775 0.845329351386157 0.683519125428748
990 0.412048823323548 0.850806889016228 0.679535070746319
1240 0.391591018412388 0.828145018244788 0.680742220700434
1240 0.411681077676607 0.826896145135232 0.673146605456657
1240 0.372691965282406 0.839037218799324 0.67695261252298
1240 0.400580231691658 0.849972116982492 0.680011690358378
1240 0.39000255009997 0.823929725324513 0.673911370069695
1490 0.345138535557275 0.84509239457797 0.685778686789749
1490 0.351412141056299 0.833383509997477 0.677282535251935
1490 0.340649178631232 0.806391135665715 0.682180783776073
1490 0.355962025175114 0.804667031181976 0.680701602382554
1490 0.291932566697297 0.789783420149303 0.683408010561407
1640 0.210222357172419 0.658078471688448 0.693969818910182
1640 0.196662270441156 0.670389693732321 0.692236604822859
1640 0.193470055669965 0.658488547742773 0.697918167862622
1640 0.245763484809556 0.724565107736546 0.694398377438122
1640 0.220132838521958 0.752921704364295 0.691649553500617
1730 -0.00412600037523227 0.296052199211879 0.734342019644099
1730 -0.0911913854648481 0.242267285738228 0.744916128376665
1730 -0.0787777896660391 0.337958777188574 0.747839524482242
1730 -0.0344959120246192 0.224322467748888 0.749319870053076
1730 -0.0415057439903424 0.394857852979249 0.732910665747585
