"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse_ATAC" "rmse_RNA"
10 0.0164542356545751 0.0769442912300055 1.01192348601209 0.613233236177608
56 0.0725754153818049 0.246863901606489 0.945396426852397 0.562897750482706
112 0.31594013662414 0.658491252563452 0.88993890477226 0.49116352379799
167 0.391151408594485 0.840383396713506 0.881210418623539 0.475165995196757
233 0.39197236382467 0.838992439825674 0.880117382920304 0.47325912883874
476 0.425466614698257 0.848892042584687 0.879249882002336 0.464724092466508
709 0.377712497246797 0.863002813534688 0.878822067198529 0.440122371380416
942 0.433669419523462 0.85025186771426 0.874065475255799 0.449796580842559
