"ncomponentsReference" "ncomponentsSubset" "maxFeatures" "scale.center" "scale.scale" "project_all" "mean_sil_score" "stab_knn_acc" "stab_knn_acc_bal" "stab_rmse" "time_integration" "time_imputation"
"elapsed" 10 10 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.379 67.49
"elapsed1" 15 10 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.83100000000002 56.672
"elapsed2" 20 10 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 3.13400000000001 61.766
"elapsed3" 30 10 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.97899999999998 62
"elapsed4" 40 10 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 3.108 57.934
"elapsed5" 50 10 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 2.83300000000008 61.0410000000001
"elapsed6" 60 10 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 3.43700000000001 58.1950000000001
"elapsed7" 70 10 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 3.69500000000005 59.773
"elapsed8" 10 15 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.57299999999998 58.4
"elapsed9" 15 15 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.52300000000002 59.549
"elapsed10" 20 15 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.78700000000003 59.9960000000001
"elapsed11" 30 15 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.84000000000015 58.3689999999999
"elapsed12" 40 15 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 3.00900000000001 57.9879999999998
"elapsed13" 50 15 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 2.71900000000005 58.4860000000001
"elapsed14" 60 15 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 3.7349999999999 59.1479999999999
"elapsed15" 70 15 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 3.5139999999999 59.864
"elapsed16" 10 20 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.49800000000005 60.1090000000002
"elapsed17" 15 20 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.57899999999995 57.0539999999999
"elapsed18" 20 20 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.2679999999998 58.3530000000001
"elapsed19" 30 20 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.91499999999996 59.9670000000001
"elapsed20" 40 20 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 3.03699999999981 59.8699999999999
"elapsed21" 50 20 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 3.20199999999977 59.9120000000003
"elapsed22" 60 20 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 3.5920000000001 58.6329999999998
"elapsed23" 70 20 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 3.6279999999997 59.9740000000002
"elapsed24" 10 30 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.47400000000016 58.1610000000001
"elapsed25" 15 30 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.55799999999999 58.2660000000001
"elapsed26" 20 30 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.66000000000031 59.1210000000001
"elapsed27" 30 30 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.93499999999995 60.4499999999998
"elapsed28" 40 30 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 2.95500000000038 59.0430000000001
"elapsed29" 50 30 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 3.04199999999992 59.8440000000001
"elapsed30" 60 30 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 3.4050000000002 59.5709999999999
"elapsed31" 70 30 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 3.53099999999995 60.4010000000003
"elapsed32" 10 40 1740 TRUE TRUE TRUE 0.410758103789102 0.869417862838915 0.82041197827053 0.955271523952561 2.51600000000008 55.741
"elapsed33" 15 40 1740 TRUE TRUE TRUE 0.452099952679111 0.882775119617225 0.847413370576559 0.954533079801561 2.1909999999998 58.002
"elapsed34" 20 40 1740 TRUE TRUE TRUE 0.432858832987776 0.878787878787879 0.842684678107353 0.954311173208201 2.346 55.7490000000003
"elapsed35" 30 40 1740 TRUE TRUE TRUE 0.449943966725428 0.874003189792663 0.838115198083046 0.953739153239989 2.48300000000017 56.4780000000001
"elapsed36" 40 40 1740 TRUE TRUE TRUE 0.447961292152935 0.871610845295056 0.847557703809656 0.953495290757718 2.6869999999999 55.4009999999998
"elapsed37" 50 40 1740 TRUE TRUE TRUE 0.433087097168089 0.869218500797448 0.842555754364609 0.953430541995808 2.85800000000017 55.8009999999999
"elapsed38" 60 40 1740 TRUE TRUE TRUE 0.427657372526749 0.859250398724083 0.826861897283266 0.953488017280014 2.92599999999993 57.0769999999998
"elapsed39" 70 40 1740 TRUE TRUE TRUE 0.42880453114265 0.857057416267943 0.826613383019637 0.953621014776709 3.01500000000033 56.7280000000001
