"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rmse"
1305 0.456860036414622 0.861000046799373 0.858645463883801
870 0.457961330616116 0.860086513395454 0.851563384953919
435 0.438021908123081 0.859677684651034 0.742897650211039
290 0.41556557318993 0.849908277103983 0.722672060987206
228 0.404375040910557 0.853004207201128 0.715094233425081
174 0.389020914058708 0.8314451499452 0.709169192048091
116 0.309396299445409 0.789135546839342 0.70502836741781
87 0.293906653968732 0.777400425403196 0.706362152796123
44 0.132828867621114 0.699372127063182 0.719848442682934
17 -0.0423885015774956 0.368947519418967 0.745256274689105
