"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse_ATAC" "rmse_RNA"
10 -0.216785158089358 0.256403016155122 1.01999742304126 0.64309040484784
10 -0.158747493032189 0.252514337004292 0.988278159360958 0.569026610698228
10 -0.121279835740763 0.227456182878 1.00744782495175 0.591399293627991
56 -0.0195195843979894 0.510511512588812 0.962605376817851 0.51804248104912
56 0.0414285803217418 0.57333289268728 0.961882426625445 0.515026636360973
56 0.0658892448180349 0.556752744469293 0.960874399204797 0.51219347389766
112 0.162417785959068 0.658440867372695 0.956174545532308 0.507484013590237
112 0.177727528007138 0.685917855163638 0.956973838519408 0.505241160092858
112 0.136582787316605 0.631657132244392 0.95592678722607 0.498873374294189
167 0.228061882577332 0.706713331174819 0.95463388049296 0.507763412149692
167 0.26611197711308 0.739660720860302 0.955139452297803 0.507450906117881
167 0.260659777535132 0.755830767594821 0.954391049980225 0.505329951265824
238 0.329288105366696 0.762460883087252 0.952623723844475 0.501842995276315
238 0.326005755514397 0.776737531103676 0.952578136169454 0.495114896233745
238 0.29878714677122 0.75395521729218 0.954712273550369 0.507974579601528
476 0.436092456132455 0.835484590250161 0.950818071534501 0.494817101218928
476 0.39096109144716 0.832041248787377 0.950975905752913 0.499025727608443
476 0.411112485111924 0.830764966405361 0.950037624761081 0.493198632836726
714 0.44949580577049 0.846584316487119 0.948933195212904 0.479106687763792
714 0.437948507522255 0.84733731991945 0.948819124380605 0.483407462180213
714 0.441338479169398 0.845700418373639 0.948677899714598 0.4833734817922
942 0.468353363276697 0.866353789115847 0.947584001834119 0.439704764773124
942 0.470878926952964 0.851716720742205 0.947177330060876 0.481242137475339
942 0.460522003820976 0.85767554698359 0.947364611105187 0.395685667685442
