"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse_ATAC" "rmse_RNA"
10 -0.00160438257898694 0.0827112972559086 1.03384829154946 0.617975614326212
10 0.00849197548950762 0.140298571312289 1.0110729202329 0.596824855168225
10 -0.00248453174983797 0.0882556337822286 1.02657010257949 0.611142938550822
56 0.158654719761938 0.466781174060508 0.924544676482167 0.54084802761344
56 0.253181742268973 0.678998593663498 0.914732560710205 0.520418034025915
56 0.24319406739812 0.609206158392087 0.89472364623676 0.487513147179762
112 0.377080448773887 0.84272528071026 0.883590645724923 0.475691824607045
112 0.405128932651262 0.838905018566807 0.882524713023841 0.47152975638063
112 0.375735022026185 0.828720268440432 0.884024040909062 0.466899179916444
167 0.398661011981193 0.863131298702097 0.882045671331758 0.473370733414526
167 0.389849596166679 0.844011037759222 0.883089137953922 0.473603711179886
167 0.405993613674688 0.858431329770367 0.882008282009337 0.47242555559259
238 0.409040205018816 0.814606693382026 0.882960430547851 0.470183758583286
238 0.40957681542604 0.859559007235393 0.88353819720724 0.464056892058705
238 0.417117563365064 0.833419711966545 0.883358602228196 0.475473011380123
476 0.408246481340258 0.827670283351395 0.884511074705299 0.464027751307779
476 0.455279152239579 0.859434611165727 0.884904323830277 0.466726023132311
476 0.439790765590223 0.860272425843487 0.88381000022459 0.46121943559015
714 0.451014389853581 0.873634227913777 0.885165000326073 0.448958619175655
714 0.438229516065513 0.871045248573587 0.885808284426811 0.452534970341572
714 0.447253641218416 0.874065482476781 0.885894887803511 0.452390598749379
942 0.445529093297583 0.867099647893208 0.885452678143819 0.405661456415551
942 0.443955772090842 0.872961985816492 0.885376636160261 0.45133420761901
942 0.448683296846784 0.874835300616354 0.885507641054868 0.368618555112847
