"bridge_size" "mean_sil_score" "mofa_knn_acc_bal" "mofa_rmse"
10 0.41889787965526 0.847438450729498 0.431663712180135
240 0.412091736939302 0.843861513147873 0.43692564370012
490 0.422116166093049 0.855537834529814 0.460414178745913
740 0.408583699966222 0.857359015728687 0.468430312092843
990 0.348890972662379 0.844043516426173 0.502125465260939
1240 0.31497978275549 0.790314904629854 0.59845856695337
1490 0.203308020545366 0.739304253008312 0.654492249666313
1640 0.0448059332186463 0.590742848659083 0.687406675548201
1730 -0.0656100767381999 0.163148868369523 0.754396821315701
