"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse"
1305 0.416968453207183 0.847935101965285 0.857274277485238
870 0.438924200755559 0.850950801856773 0.83980975560985
435 0.382292219037331 0.843856412630479 0.739788647905648
290 0.385468081987997 0.818123451255452 0.721703212808577
228 0.370826074673353 0.81190802743038 0.714342714192988
174 0.369775626087802 0.813543784114648 0.708524634134094
116 0.287348798815983 0.746783681577495 0.70499317350048
87 0.258141744462054 0.760091605844742 0.706590839662801
44 0.0847759616727335 0.619472699494343 0.721625467039019
17 -0.071339343763807 0.333737790568613 0.748230181188198
