"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse" "rmse_atac" "rmse_rna"
10 -0.0561267217414458 0.286134890614697 0.751675964132195 NA NA
52 0.1703453409562 0.699013516267778 0.712352884615342 NA NA
104 0.302948602442151 0.786955266745689 0.704083259540553 NA NA
156 0.375479011721773 0.82011385667158 0.707080076929441 NA NA
218 0.40125121883863 0.856557178589718 0.713742814335532 NA NA
438 0.435405905952108 0.860270628773285 0.743197165015129 NA NA
653 0.443087415059463 0.837178136910059 0.787988700324982 NA NA
870 0.459705471025289 0.860197180328822 0.851563384953919 NA NA
953 0.444194768115111 0.852438531050982 0.885419371477762 NA NA
1088 0.451737215187095 0.865456339138557 0.866097513140713 NA NA
1305 0.459570875245588 0.866109479581362 0.858645463883801 NA NA
1523 0.45232676931463 0.880402560977978 0.850593733409172 NA NA
1730 0.463126752198537 0.876781190571848 0.793488402456863 NA NA
