"bridge_size" "mean_sil_score" "knn_acc_bal" "rmse"
10 -0.0892709527730607 0.210807119302345 0.735143144371477
10 -0.0515755151271358 0.306501352790836 0.747448393476123
10 -0.0655122547338886 0.314984632432069 0.733804236205395
10 -0.038048195201056 0.391358142671413 0.753159699814853
10 -0.063517856459988 0.316227658903782 0.754105210033774
52 0.0182158770269265 0.463964696353683 0.705485460227436
52 0.110489529446058 0.568113417452941 0.707994828557493
52 0.0875508164249828 0.6733870099212 0.701268476953845
52 0.161685542632151 0.62782575076649 0.7020327849056
52 0.109300482552335 0.491973910925313 0.707666693625375
104 0.239483480436011 0.728837157524024 0.693428458721148
104 0.210873979203596 0.731099800981598 0.690119219220026
104 0.265822957211265 0.77901317160356 0.69104141182185
104 0.199901737449986 0.650617958595831 0.696739630776154
104 0.253029007592424 0.762874589064962 0.691070815789046
156 0.259425647696638 0.751051975184543 0.68238280520005
156 0.265191976558398 0.772598373231639 0.68717200802296
156 0.311151845126099 0.770412639715 0.681667565048674
156 0.266636550128565 0.76919342861165 0.68946347813284
156 0.301054431170822 0.772572191510239 0.686456751767599
218 0.34084563703452 0.829504902481234 0.683459146194624
218 0.36160236211462 0.838211297070605 0.678801369318567
218 0.340448752722278 0.822293548074757 0.686410816564159
218 0.340049205638794 0.839400819837767 0.68329523687897
218 0.344322879556775 0.827550368572633 0.680684996090117
438 0.391763015023054 0.84061214818671 0.675609329737134
438 0.398000520190472 0.84107265746703 0.683679814651416
438 0.377265646389262 0.847630072435367 0.671933175887187
438 0.390754922689659 0.836311137600846 0.669344604711406
438 0.37733413131417 0.83864979232598 0.67397685588365
653 0.406642620406477 0.824542124329901 0.676913355918006
653 0.401871162077449 0.836005373923759 0.667980005431614
653 0.400998796259663 0.846973491729636 0.665495944939576
653 0.40054674260058 0.83472499578206 0.671663866724489
653 0.390330159970442 0.849320028168589 0.674568131985853
870 0.425533859409343 0.852417208364232 0.669069223852924
870 0.420734508352642 0.845790065204384 0.675616337803797
870 0.396729074696478 0.854014241933167 0.67768842983957
870 0.39662340070823 0.840767787344207 0.667426821868354
870 0.417679204841014 0.849561415111573 0.657316586473593
953 0.41935701816075 0.853683522707732 0.679698524296907
953 0.405426011648463 0.847641104504536 0.676497598961669
953 0.401531891051006 0.840994853604312 0.670963479370549
953 0.409316610490321 0.846072173269438 0.669289278733901
953 0.411076545416563 0.850581480773198 0.672754529713168
1088 0.421522329652746 0.853797040721587 0.668786862307604
1088 0.408079065772116 0.841170877526311 0.679548697578321
1088 0.41664321228209 0.85840596452719 0.668766387542175
1088 0.430196053213748 0.848142396593185 0.67787998386519
1088 0.430785312175521 0.851797442242891 0.670895450346575
1305 0.406553558859098 0.851741701965889 0.669044752081032
1305 0.421159550143847 0.842312350628932 0.671822512761083
1305 0.416140406056175 0.852498036214589 0.663876356419706
1305 0.41761271615751 0.843716189280111 0.673081107543489
1305 0.399104186579467 0.84505702822233 0.671769175319034
1523 0.421335412955538 0.851148313619446 0.683935502275005
1523 0.381823700498588 0.838881430539646 0.681603576562724
1523 0.413149468327535 0.844687994237844 0.655453975765196
1523 0.421983735723507 0.851580243864225 0.677793575055691
1523 0.403434902989275 0.849111950018194 0.653691108552663
1730 0.393710402169257 0.848853738374128 0.601787780942165
1730 0.41935218090151 0.853504220808469 0.805337862009924
1730 0.423733498722714 0.847176944160289 0.678250489551258
1730 0.400624266497739 0.847781939316116 0.723410008542479
1730 0.407271607523358 0.847059200615558 0.620887685846804
